ID,second_category,third_category,job,손재주,미적감각,소통,문서,운영관리,신체,판단력위기대응,전문지식기술,논리,디지털,status,정밀도유형
1,금속·재료 설치·정비·생산직(판금·단조·주조·용접·도장 등),광석·석제품 생산기계 조작원,광석·석제품생산기계조작원,3.3,0.5,1.4,0.2,1.4,3.3,2.5,2.7,2.3,0.7,"LLM추정(저신뢰,미검수)","보간(앵커거리기반,완만혼합)"
2,금속·재료 설치·정비·생산직(판금·단조·주조·용접·도장 등),금속가공 기계 조작원,금속가공기계조작원,4.1,0.4,1.4,0.3,1.5,3.3,2.5,2.8,2.3,0.7,"LLM추정(저신뢰,미검수)","보간(앵커거리기반,완만혼합)"
3,금속·재료 설치·정비·생산직(판금·단조·주조·용접·도장 등),금속가공 제어장치 조작원,금속가공제어장치조작원,3.3,0.5,1.3,0.3,1.4,2.5,2.5,2.7,2.3,1.5,"LLM추정(저신뢰,미검수)","보간(앵커거리기반,완만혼합)"
4,금속·재료 설치·정비·생산직(판금·단조·주조·용접·도장 등),단조원,단조원(단조기조작원),4.1,0.4,1.4,0.3,1.5,4.0,2.5,2.7,2.3,0.0,"LLM추정(저신뢰,미검수)","보간(앵커거리기반,완만혼합)"
5,금속·재료 설치·정비·생산직(판금·단조·주조·용접·도장 등),도금·금속분무기 조작원,도금·금속분무기조작원,3.3,0.5,1.4,0.2,1.4,3.3,2.5,2.7,2.3,0.0,"LLM추정(저신뢰,미검수)","보간(앵커거리기반,완만혼합)"
6,금속·재료 설치·정비·생산직(판금·단조·주조·용접·도장 등),도장원(도장기조작원),도장원(도장기조작원),4.1,1.3,1.3,0.2,1.5,4.0,2.5,2.8,2.3,0.0,"LLM추정(저신뢰,미검수)","보간(앵커거리기반,완만혼합)"
7,금속·재료 설치·정비·생산직(판금·단조·주조·용접·도장 등),시멘트·광물제품 생산기계 조작원,시멘트·광물제품생산기계조작원,3.2,0.5,1.2,0.2,1.4,3.2,1.5,2.0,1.5,0.7,"LLM추정(저신뢰,미검수)","보간(앵커거리기반,완만혼합)"
8,금속·재료 설치·정비·생산직(판금·단조·주조·용접·도장 등),용접원,용접원(용접기조작원),4.8,0.4,1.4,0.3,1.5,4.0,2.5,3.5,2.3,0.0,"LLM추정(저신뢰,미검수)","보간(앵커거리기반,완만혼합)"
9,금속·재료 설치·정비·생산직(판금·단조·주조·용접·도장 등),유리·유리제품 생산기계 조작원,유리·유리제품생산기계조작원,3.3,0.5,1.4,0.2,1.4,3.3,2.5,2.7,2.3,0.0,"LLM추정(저신뢰,미검수)","보간(앵커거리기반,완만혼합)"
10,금속·재료 설치·정비·생산직(판금·단조·주조·용접·도장 등),점토제품 생산기계 조작원,점토제품생산기계조작원,3.2,0.5,1.2,0.2,1.4,3.2,1.5,2.0,1.5,0.0,"LLM추정(저신뢰,미검수)","보간(앵커거리기반,완만혼합)"
11,금속·재료 설치·정비·생산직(판금·단조·주조·용접·도장 등),제관원,제관원(제관기조작원),4.8,0.4,1.4,0.3,1.5,4.0,2.5,2.8,2.3,0.0,"LLM추정(저신뢰,미검수)","보간(앵커거리기반,완만혼합)"
12,금속·재료 설치·정비·생산직(판금·단조·주조·용접·도장 등),주조원,주조원(주조기조작원),4.1,0.4,1.4,0.3,1.5,4.0,2.5,2.7,2.3,0.0,"LLM추정(저신뢰,미검수)","보간(앵커거리기반,완만혼합)"
13,금속·재료 설치·정비·생산직(판금·단조·주조·용접·도장 등),판금원,판금원(판금기조작원),4.1,0.4,1.4,0.3,1.5,3.3,2.5,2.8,2.3,0.0,"LLM추정(저신뢰,미검수)","보간(앵커거리기반,완만혼합)"
14,기계 설치·정비·생산직,건설·광업 기계 설치·정비원,건설·광업기계설치·정비원,4.1,0.4,1.4,1.0,1.5,4.0,3.3,3.5,3.0,0.7,"LLM추정(저신뢰,미검수)","보간(앵커거리기반,완만혼합)"
15,기계 설치·정비·생산직,공업기계 설치·정비원,공업기계설치 및 정비원,4.1,0.4,1.4,1.0,1.5,3.3,3.3,3.5,3.0,0.7,"LLM추정(저신뢰,미검수)","보간(앵커거리기반,완만혼합)"
16,기계 설치·정비·생산직,금속 공작기계 조작원,금속공작기계조작원,4.1,0.4,1.4,0.3,1.5,2.5,2.5,2.8,2.3,0.7,"LLM추정(저신뢰,미검수)","보간(앵커거리기반,완만혼합)"
17,기계 설치·정비·생산직,금형원,금형원,4.1,1.4,1.3,0.9,1.5,2.5,2.5,3.5,3.0,0.7,"LLM추정(저신뢰,미검수)","보간(앵커거리기반,완만혼합)"
18,기계 설치·정비·생산직,냉·난방 설비 조작원,냉·난방설비조작원,3.3,0.5,1.3,1.0,1.4,2.5,2.5,2.7,2.3,0.7,"LLM추정(저신뢰,미검수)","보간(앵커거리기반,완만혼합)"
19,기계 설치·정비·생산직,냉동·냉장·공조기 설치·정비원,냉동·냉장·공조기설치·정비원,4.1,0.4,1.4,1.0,1.5,3.3,3.3,2.7,3.0,0.7,"LLM추정(저신뢰,미검수)","보간(앵커거리기반,완만혼합)"
20,기계 설치·정비·생산직,농업용 및 기타 기계장비 설치·정비원,농업용 및 기타기계장비설치 및 정비원,4.1,0.4,1.4,1.0,1.5,3.3,2.5,2.8,2.3,0.7,"LLM추정(저신뢰,미검수)","보간(앵커거리기반,완만혼합)"
21,기계 설치·정비·생산직,물품이동장비 설치·정비원,크레인 및 지게차설치 및 정비원,4.1,0.4,1.4,1.0,1.5,3.3,2.5,2.8,2.3,0.7,"LLM추정(저신뢰,미검수)","보간(앵커거리기반,완만혼합)"
22,기계 설치·정비·생산직,보일러 설치·정비원,보일러설치·정비원,4.1,0.4,1.4,1.0,1.5,3.3,3.3,3.5,2.3,0.7,"LLM추정(저신뢰,미검수)","보간(앵커거리기반,완만혼합)"
23,기계 설치·정비·생산직,선박 정비원,선박정비원,4.1,0.4,1.4,1.0,1.5,4.0,3.3,3.5,3.0,0.7,"LLM추정(저신뢰,미검수)","보간(앵커거리기반,완만혼합)"
24,기계 설치·정비·생산직,승강기 설치·정비원,승강기설치·정비원,4.1,0.4,1.4,1.0,1.5,3.3,4.0,3.5,3.0,0.7,"LLM추정(저신뢰,미검수)","보간(앵커거리기반,완만혼합)"
25,기계 설치·정비·생산직,오토바이정비원,오토바이정비원,4.1,0.4,1.4,1.0,1.5,2.5,2.5,2.8,2.3,0.7,"LLM추정(저신뢰,미검수)","보간(앵커거리기반,완만혼합)"
26,기계 설치·정비·생산직,운송장비 조립원,선박조립원,3.2,0.5,1.2,0.2,1.4,3.2,1.5,2.0,2.3,0.0,"LLM추정(저신뢰,미검수)","보간(앵커거리기반,완만혼합)"
27,기계 설치·정비·생산직,일반기계 조립원,일반기계조립원,3.2,0.5,1.2,0.2,1.4,2.5,1.5,2.0,2.3,0.0,"LLM추정(저신뢰,미검수)","보간(앵커거리기반,완만혼합)"
28,기계 설치·정비·생산직,자동조립라인·산업용로봇 조작원,자동조립라인·산업용 로봇조작원,3.3,0.5,1.3,0.3,1.4,2.5,2.5,2.7,2.3,1.5,"LLM추정(저신뢰,미검수)","보간(앵커거리기반,완만혼합)"
29,기계 설치·정비·생산직,자동차 부품 조립원,자동차부품조립·검사원,2.5,0.5,1.3,1.0,1.4,2.5,2.5,2.0,2.3,0.0,"LLM추정(저신뢰,미검수)","보간(앵커거리기반,완만혼합)"
30,기계 설치·정비·생산직,자동차 정비원,자동차정비원,4.1,0.4,2.1,1.0,1.5,2.5,3.3,3.5,3.0,0.7,"LLM추정(저신뢰,미검수)","보간(앵커거리기반,완만혼합)"
31,기계 설치·정비·생산직,자동차 정비원,자전거판매 및 정비원,3.3,0.5,2.0,1.0,1.4,2.5,1.5,2.0,1.5,0.0,"LLM추정(저신뢰,미검수)","보간(앵커거리기반,완만혼합)"
32,기계 설치·정비·생산직,자동차 조립원,자동차조립원,3.2,0.5,1.2,0.2,1.4,2.5,1.5,2.0,1.5,0.0,"LLM추정(저신뢰,미검수)","보간(앵커거리기반,완만혼합)"
33,기계 설치·정비·생산직,철도기관차·전동차 정비원,철도기관차·전동차정비원,4.1,0.4,1.4,1.0,1.5,3.3,4.0,3.5,3.0,0.7,"LLM추정(저신뢰,미검수)","보간(앵커거리기반,완만혼합)"
34,기계 설치·정비·생산직,항공기 정비원,항공기정비원,4.1,0.4,2.1,1.0,1.5,3.3,4.0,4.5,3.7,0.7,"LLM추정(저신뢰,미검수)","보간(앵커거리기반,완만혼합)"
35,기계 설치·정비·생산직,항공기 정비원,헬리콥터정비원,4.1,0.4,2.1,1.0,1.5,3.3,4.0,3.5,3.7,0.7,"LLM추정(저신뢰,미검수)","보간(앵커거리기반,완만혼합)"
36,섬유·의복 생산직,섬유 제조기계 조작원,섬유제조기계조작원,3.2,0.5,1.2,0.2,1.4,2.5,1.5,2.0,1.5,0.7,"LLM추정(저신뢰,미검수)","보간(앵커거리기반,완만혼합)"
37,섬유·의복 생산직,세탁 기계 조작원,세탁기계조작원,2.4,0.5,1.2,0.3,1.3,2.4,1.5,1.2,1.5,0.7,"LLM추정(저신뢰,미검수)","보간(앵커거리기반,완만혼합)"
38,섬유·의복 생산직,신발 제조기계 조작원 및 조립원,신발제조기계조작원 및 조립원,3.2,0.5,1.2,0.2,1.4,2.5,1.5,2.0,1.5,0.0,"LLM추정(저신뢰,미검수)","보간(앵커거리기반,완만혼합)"
39,섬유·의복 생산직,양장·양복 제조원,양장·양복제조원,3.9,2.2,1.2,0.2,1.4,1.5,2.4,2.1,2.3,0.0,"LLM추정(저신뢰,미검수)","보간(앵커거리기반,완만혼합)"
40,섬유·의복 생산직,의복·가죽·모피 수선원,의복·가죽·모피수선원,3.9,1.5,1.2,0.2,1.4,1.5,2.4,2.1,2.3,0.0,"LLM추정(저신뢰,미검수)","보간(앵커거리기반,완만혼합)"
41,섬유·의복 생산직,재단사,재단사,3.8,3.1,1.1,0.2,1.3,1.5,2.3,2.8,2.2,0.0,"LLM추정(저신뢰,미검수)","보간(앵커거리기반,완만혼합)"
42,섬유·의복 생산직,재봉사,재봉사,3.9,1.5,1.2,0.2,1.4,1.5,1.5,2.1,1.5,0.0,"LLM추정(저신뢰,미검수)","보간(앵커거리기반,완만혼합)"
43,섬유·의복 생산직,제화원,제화원,3.9,1.5,1.2,0.2,1.4,1.5,1.5,2.1,1.5,0.0,"LLM추정(저신뢰,미검수)","보간(앵커거리기반,완만혼합)"
44,섬유·의복 생산직,직조기·편직기 조작원,직조기 및 편직기조작원,3.3,0.5,1.3,0.3,1.4,2.5,1.5,2.0,2.3,0.7,"LLM추정(저신뢰,미검수)","보간(앵커거리기반,완만혼합)"
45,섬유·의복 생산직,패턴사,패턴사,3.8,3.9,1.1,0.2,1.3,1.5,2.3,2.8,2.2,0.0,"LLM추정(저신뢰,미검수)","보간(앵커거리기반,완만혼합)"
46,섬유·의복 생산직,표백·염색기 조작원,표백·염색기조작원,2.3,0.5,1.2,0.2,1.3,2.4,1.5,2.0,1.5,0.7,"LLM추정(저신뢰,미검수)","보간(앵커거리기반,완만혼합)"
47,섬유·의복 생산직,한복 제조원,한복제조원,4.7,3.0,1.2,0.2,1.3,1.5,2.4,2.8,2.3,0.0,"LLM추정(저신뢰,미검수)","보간(앵커거리기반,완만혼합)"
