대분류,중분류,직무명,직무설명
건설·채굴직,건설·채굴직,철골공(강구조물건립원),
건설·채굴직,건설·채굴직,경량철골공,
건설·채굴직,건설·채굴직,철근공,
건설·채굴직,건설·채굴직,콘크리트공,
건설·채굴직,건설·채굴직,건축석공,
건설·채굴직,건설·채굴직,건축목공,
건설·채굴직,건설·채굴직,전통건축기능원,
건설·채굴직,건설·채굴직,조적원,
건설·채굴직,건설·채굴직,미장공,
건설·채굴직,건설·채굴직,방수공,
건설·채굴직,건설·채굴직,단열공,
건설·채굴직,건설·채굴직,타일·대리석시공원,
건설·채굴직,건설·채굴직,도배공,
건설·채굴직,건설·채굴직,유리부착원,
건설·채굴직,건설·채굴직,건물도장공,
건설·채굴직,건설·채굴직,섀시조립·설치원,
건설·채굴직,건설·채굴직,건설배관공,
건설·채굴직,건설·채굴직,공업배관공,
건설·채굴직,건설·채굴직,건설 및 채굴기계운전원,
건설·채굴직,건설·채굴직,광원·채석원 및 석재절단원,
건설·채굴직,건설·채굴직,철로설치·보수원,
건설·채굴직,건설·채굴직,점화·발파·화약관리원,
건설·채굴직,건설·채굴직,잠수기능원,
건설·채굴직,건설·채굴직,건설·채굴단순종사원,
경영·사무·금융·보험직,경영·행정·사무직,정부·공공행정전문가,
경영·사무·금융·보험직,경영·행정·사무직,경영·진단전문가,
경영·사무·금융·보험직,경영·행정·사무직,노무사,
경영·사무·금융·보험직,경영·행정·사무직,인적자원전문가,
경영·사무·금융·보험직,경영·행정·사무직,회계사,
경영·사무·금융·보험직,경영·행정·사무직,세무사,
경영·사무·금융·보험직,경영·행정·사무직,관세사,
경영·사무·금융·보험직,경영·행정·사무직,감정평가사,
경영·사무·금융·보험직,경영·행정·사무직,광고·홍보·마케팅전문가,
경영·사무·금융·보험직,경영·행정·사무직,조사전문가,
경영·사무·금융·보험직,경영·행정·사무직,상품기획자,어떤 상품을 만들고 팔지 아이디어를 정리하는 일
경영·사무·금융·보험직,경영·행정·사무직,공연·영화 및 음반기획자,
경영·사무·금융·보험직,경영·행정·사무직,행사기획자,
경영·사무·금융·보험직,경영·행정·사무직,공연·영화·음반기획자,
경영·사무·금융·보험직,경영·행정·사무직,조세행정사무원,
경영·사무·금융·보험직,경영·행정·사무직,관세행정사무원,
경영·사무·금융·보험직,경영·행정·사무직,병무행정사무원,
경영·사무·금융·보험직,경영·행정·사무직,일반행정공무원,
경영·사무·금융·보험직,경영·행정·사무직,법원공무원,
경영·사무·금융·보험직,경영·행정·사무직,경영기획사무원,
경영·사무·금융·보험직,경영·행정·사무직,광고·홍보·마케팅사무원,
경영·사무·금융·보험직,경영·행정·사무직,영업기획·관리·지원사무원,
경영·사무·금융·보험직,경영·행정·사무직,인사·교육·훈련사무원,
경영·사무·금융·보험직,경영·행정·사무직,총무사무원,사무실 물품과 서류를 관리하는 일
경영·사무·금융·보험직,경영·행정·사무직,감사사무원,
경영·사무·금융·보험직,경영·행정·사무직,회계사무원,
경영·사무·금융·보험직,경영·행정·사무직,경리사무원,회사의 돈이 들어오고 나가는 내역을 정리하는 일
경영·사무·금융·보험직,경영·행정·사무직,무역사무원,
경영·사무·금융·보험직,경영·행정·사무직,도로운송사무원,
경영·사무·금융·보험직,경영·행정·사무직,철도·지하철운송사무원,
경영·사무·금융·보험직,경영·행정·사무직,항공운송사무원,
경영·사무·금융·보험직,경영·행정·사무직,수상운송사무원,
경영·사무·금융·보험직,경영·행정·사무직,자재·구매사무원,
경영·사무·금융·보험직,경영·행정·사무직,물류사무원,창고에 들어오고 나가는 물건 수량을 컴퓨터로 관리하는 일
경영·사무·금융·보험직,경영·행정·사무직,생산관리사무원,공장에서 물건이 잘 만들어지는지 기록하고 관리하는 일
경영·사무·금융·보험직,경영·행정·사무직,품질관리사무원,만들어진 제품에 문제가 없는지 확인하고 기록하는 일
경영·사무·금융·보험직,경영·행정·사무직,안내 및 접수사무원,방문한 사람을 맞이하고 접수를 도와주는 일
경영·사무·금융·보험직,경영·행정·사무직,고객상담원,전화나 창구에서 손님의 문의에 답해주는 일
경영·사무·금융·보험직,경영·행정·사무직,의료코디네이터,
경영·사무·금융·보험직,경영·행정·사무직,통계사무원,
경영·사무·금융·보험직,경영·행정·사무직,비서,
경영·사무·금융·보험직,경영·행정·사무직,전산자료입력원 및 사무보조원,서류를 정리하고 컴퓨터에 자료를 입력하는 일
경영·사무·금융·보험직,경영·행정·사무직,출판·자료편집사무원,
경영·사무·금융·보험직,경영·행정·사무직,속기사,
경영·사무·금융·보험직,경영·행정·사무직,행정사,
경영·사무·금융·보험직,경영·행정·사무직,취업알선원,일자리를 찾는 사람에게 알맞은 일자리를 안내하는 일
경영·사무·금융·보험직,관리직(임원·부서장),행정부고위공무원,
경영·사무·금융·보험직,관리직(임원·부서장),기업고위임원,
경영·사무·금융·보험직,관리직(임원·부서장),정부행정관리자,
경영·사무·금융·보험직,관리직(임원·부서장),경영지원관리자,
경영·사무·금융·보험직,관리직(임원·부서장),마케팅·광고·홍보관리자,
경영·사무·금융·보험직,관리직(임원·부서장),금융관리자,
경영·사무·금융·보험직,관리직(임원·부서장),보험관리자,
경영·사무·금융·보험직,관리직(임원·부서장),연구관리자,
경영·사무·금융·보험직,관리직(임원·부서장),유치원 원장 및 원감,
경영·사무·금융·보험직,관리직(임원·부서장),초등학교 교장 및 교감,
경영·사무·금융·보험직,관리직(임원·부서장),중고등학교 교장 및 교감,
경영·사무·금융·보험직,관리직(임원·부서장),대학교 총장 및 대학학장,
경영·사무·금융·보험직,관리직(임원·부서장),경찰·소방·교도관리자,
경영·사무·금융·보험직,관리직(임원·부서장),보건·의료관리자,
경영·사무·금융·보험직,관리직(임원·부서장),사회복지관리자,
경영·사무·금융·보험직,관리직(임원·부서장),예술·디자인·방송관리자,
경영·사무·금융·보험직,관리직(임원·부서장),정보통신관리자,
경영·사무·금융·보험직,관리직(임원·부서장),여행·호텔관리자,
경영·사무·금융·보험직,관리직(임원·부서장),음식서비스관리자,
경영·사무·금융·보험직,관리직(임원·부서장),경비·청소관리자,
경영·사무·금융·보험직,관리직(임원·부서장),영업·판매관리자,
경영·사무·금융·보험직,관리직(임원·부서장),운송관리자,
경영·사무·금융·보험직,관리직(임원·부서장),건설·채굴관리자,
경영·사무·금융·보험직,관리직(임원·부서장),전기·가스·수도관리자,
경영·사무·금융·보험직,관리직(임원·부서장),제조·생산관리자,
경영·사무·금융·보험직,금융·보험직,투자분석가,
경영·사무·금융·보험직,금융·보험직,신용분석가,
경영·사무·금융·보험직,금융·보험직,자산운용가,
경영·사무·금융·보험직,금융·보험직,보험상품개발자,
경영·사무·금융·보험직,금융·보험직,금융상품개발자,
경영·사무·금융·보험직,금융·보험직,증권·외환딜러,
경영·사무·금융·보험직,금융·보험직,손해사정사,
경영·사무·금융·보험직,금융·보험직,은행사무원,
경영·사무·금융·보험직,금융·보험직,증권사무원,
경영·사무·금융·보험직,금융·보험직,보험인수심사원(언더라이터),
경영·사무·금융·보험직,금융·보험직,보험보상사무원,
경영·사무·금융·보험직,금융·보험직,출납창구사무원,
경영·사무·금융·보험직,금융·보험직,신용추심원,
경영·사무·금융·보험직,금융·보험직,보험대리인 및 중개인,
경영·사무·금융·보험직,금융·보험직,보험모집인,
교육·법률·사회복지·경찰·소방직 및 군인,경찰·소방·교도직,경찰관,
교육·법률·사회복지·경찰·소방직 및 군인,경찰·소방·교도직,해양경찰관,
교육·법률·사회복지·경찰·소방직 및 군인,경찰·소방·교도직,소방관,
교육·법률·사회복지·경찰·소방직 및 군인,경찰·소방·교도직,교도관,
교육·법률·사회복지·경찰·소방직 및 군인,교육직,대학교수,
교육·법률·사회복지·경찰·소방직 및 군인,교육직,대학시간강사,
교육·법률·사회복지·경찰·소방직 및 군인,교육직,중·고등학교교사,
교육·법률·사회복지·경찰·소방직 및 군인,교육직,초등학교교사,
교육·법률·사회복지·경찰·소방직 및 군인,교육직,특수교육교사,
교육·법률·사회복지·경찰·소방직 및 군인,교육직,보조교사,
교육·법률·사회복지·경찰·소방직 및 군인,교육직,유치원교사,
교육·법률·사회복지·경찰·소방직 및 군인,교육직,문리학원강사,
교육·법률·사회복지·경찰·소방직 및 군인,교육직,외국어강사,
교육·법률·사회복지·경찰·소방직 및 군인,교육직,컴퓨터강사,
교육·법률·사회복지·경찰·소방직 및 군인,교육직,기술·기능계강사,
교육·법률·사회복지·경찰·소방직 및 군인,교육직,예능강사,
교육·법률·사회복지·경찰·소방직 및 군인,교육직,학습지·교육교구방문강사,
교육·법률·사회복지·경찰·소방직 및 군인,교육직,교재·교구 및 이러닝교육전문가,
교육·법률·사회복지·경찰·소방직 및 군인,군인,위관급 장교,
교육·법률·사회복지·경찰·소방직 및 군인,군인,부사관,
교육·법률·사회복지·경찰·소방직 및 군인,법률직,판사,
교육·법률·사회복지·경찰·소방직 및 군인,법률직,검사,
교육·법률·사회복지·경찰·소방직 및 군인,법률직,변호사,
교육·법률·사회복지·경찰·소방직 및 군인,법률직,법무사 및 집행관,
교육·법률·사회복지·경찰·소방직 및 군인,법률직,변리사,
교육·법률·사회복지·경찰·소방직 및 군인,법률직,법률사무원,
교육·법률·사회복지·경찰·소방직 및 군인,사회복지·종교직,사회복지사,
교육·법률·사회복지·경찰·소방직 및 군인,사회복지·종교직,심리상담전문가,
교육·법률·사회복지·경찰·소방직 및 군인,사회복지·종교직,청소년지도사,
교육·법률·사회복지·경찰·소방직 및 군인,사회복지·종교직,직업상담사,
교육·법률·사회복지·경찰·소방직 및 군인,사회복지·종교직,사회단체활동가,
교육·법률·사회복지·경찰·소방직 및 군인,사회복지·종교직,보육교사,
교육·법률·사회복지·경찰·소방직 및 군인,사회복지·종교직,생활지도원,
농림어업직,농림어업직,곡식작물재배원,
농림어업직,농림어업직,채소·특용작물재배원,
농림어업직,농림어업직,과수작물재배원,
농림어업직,농림어업직,육묘 및 화훼작물재배자,
농림어업직,농림어업직,조경원,
농림어업직,농림어업직,낙농종사원,
농림어업직,농림어업직,가축사육종사원,
농림어업직,농림어업직,조림·산림경영인 및 벌목원,
농림어업직,농림어업직,양식원,
농림어업직,농림어업직,어부 및 해녀,
미용·여행·숙박·음식·경비·청소직,경호·경비직,경호원,
미용·여행·숙박·음식·경비·청소직,경호·경비직,청원경찰,
미용·여행·숙박·음식·경비·청소직,경호·경비직,시설·특수경비원,
미용·여행·숙박·음식·경비·청소직,경호·경비직,경비원,건물이나 시설을 지키고 출입을 확인하는 일
